datetime,AccX,AccY,AccZ
,-0.021,-1.004,0.071
,-0.02,-1.001,0.073
,-0.022,-1.003,0.071
,-0.021,-1.001,0.072
2025-11-13 23:04:47.012,-0.021,-1.004,0.071
2025-11-13 23:04:47.012,-0.02,-1.001,0.073
2025-11-13 23:04:47.012,-0.022,-1.003,0.071
2025-11-13 23:04:47.012,-0.021,-1.001,0.072
,-0.02,-1.001,0.073
,-0.021,-1.003,0.071
,-0.02,-0.999,0.073
,-0.022,-0.987,0.071
2025-11-13 23:04:47.056,-0.02,-1.001,0.073
2025-11-13 23:04:47.056,-0.021,-1.003,0.071
2025-11-13 23:04:47.056,-0.02,-0.999,0.073
2025-11-13 23:04:47.056,-0.022,-0.987,0.071
,-0.02,-1.018,0.074
,-0.02,-1.022,0.075
,-0.022,-1.0,0.069
,-0.018,-0.981,0.074
,-0.022,-0.991,0.069
,-0.021,-1.018,0.075
,-0.02,-1.013,0.072
,-0.022,-0.998,0.07
2025-11-13 23:04:47.158,-0.02,-1.018,0.074
2025-11-13 23:04:47.158,-0.02,-1.022,0.075
2025-11-13 23:04:47.158,-0.022,-1.0,0.069
2025-11-13 23:04:47.158,-0.018,-0.981,0.074
2025-11-13 23:04:47.158,-0.022,-0.991,0.069
2025-11-13 23:04:47.158,-0.021,-1.018,0.075
2025-11-13 23:04:47.158,-0.02,-1.013,0.072
2025-11-13 23:04:47.158,-0.022,-0.998,0.07
,-0.019,-0.984,0.074
,-0.022,-1.004,0.071
,-0.021,-1.017,0.073
,-0.019,-1.009,0.071
2025-11-13 23:04:47.160,-0.019,-0.984,0.074
2025-11-13 23:04:47.160,-0.022,-1.004,0.071
2025-11-13 23:04:47.160,-0.021,-1.017,0.073
2025-11-13 23:04:47.160,-0.019,-1.009,0.071
,-0.021,-0.993,0.07
,-0.019,-0.991,0.073
,-0.021,-1.003,0.071
,-0.021,-1.015,0.073
2025-11-13 23:04:47.200,-0.021,-0.993,0.07
2025-11-13 23:04:47.200,-0.019,-0.991,0.073
2025-11-13 23:04:47.200,-0.021,-1.003,0.071
2025-11-13 23:04:47.200,-0.021,-1.015,0.073
,-0.02,-1.003,0.072
,-0.021,-0.993,0.072
,-0.02,-0.995,0.074
,-0.022,-1.007,0.07
,-0.02,-1.015,0.073
,-0.02,-1.003,0.073
,-0.021,-0.995,0.072
,-0.02,-1.0,0.072
,-0.022,-1.007,0.072
,-0.021,-1.009,0.073
,-0.019,-1.0,0.071
,-0.021,-0.997,0.07
2025-11-13 23:04:47.333,-0.02,-1.003,0.072
2025-11-13 23:04:47.333,-0.021,-0.993,0.072
2025-11-13 23:04:47.333,-0.02,-0.995,0.074
2025-11-13 23:04:47.333,-0.022,-1.007,0.07
2025-11-13 23:04:47.333,-0.02,-1.015,0.073
2025-11-13 23:04:47.333,-0.02,-1.003,0.073
2025-11-13 23:04:47.333,-0.021,-0.995,0.072
2025-11-13 23:04:47.333,-0.02,-1.0,0.072
2025-11-13 23:04:47.333,-0.022,-1.007,0.072
2025-11-13 23:04:47.333,-0.021,-1.009,0.073
2025-11-13 23:04:47.333,-0.019,-1.0,0.071
2025-11-13 23:04:47.333,-0.021,-0.997,0.07
,-0.02,-1.003,0.073
,-0.021,-1.009,0.071
,-0.021,-1.007,0.073
,-0.021,-0.998,0.072
,-0.021,-0.997,0.072
,-0.021,-1.003,0.074
,-0.021,-1.009,0.071
,-0.02,-1.004,0.073
,-0.021,-0.999,0.072
,-0.022,-1.0,0.071
,-0.02,-1.004,0.072
,-0.021,-1.006,0.07
2025-11-13 23:04:47.475,-0.02,-1.003,0.073
2025-11-13 23:04:47.475,-0.021,-1.009,0.071
2025-11-13 23:04:47.475,-0.021,-1.007,0.073
2025-11-13 23:04:47.475,-0.021,-0.998,0.072
2025-11-13 23:04:47.475,-0.021,-0.997,0.072
2025-11-13 23:04:47.476,-0.021,-1.003,0.074
2025-11-13 23:04:47.476,-0.021,-1.009,0.071
2025-11-13 23:04:47.476,-0.02,-1.004,0.073
2025-11-13 23:04:47.476,-0.021,-0.999,0.072
2025-11-13 23:04:47.476,-0.022,-1.0,0.071
2025-11-13 23:04:47.476,-0.02,-1.004,0.072
2025-11-13 23:04:47.476,-0.021,-1.006,0.07
,-0.021,-1.002,0.072
,-0.021,-0.998,0.072
,-0.021,-0.999,0.072
,-0.021,-1.005,0.073
2025-11-13 23:04:47.490,-0.021,-1.002,0.072
2025-11-13 23:04:47.490,-0.021,-0.998,0.072
2025-11-13 23:04:47.490,-0.021,-0.999,0.072
2025-11-13 23:04:47.490,-0.021,-1.005,0.073
,-0.021,-1.005,0.072
,-0.021,-1.002,0.073
,-0.021,-1.0,0.073
,-0.021,-1.004,0.071
2025-11-13 23:04:47.523,-0.021,-1.005,0.072
2025-11-13 23:04:47.523,-0.021,-1.002,0.073
2025-11-13 23:04:47.523,-0.021,-1.0,0.073
2025-11-13 23:04:47.523,-0.021,-1.004,0.071
,-0.021,-1.006,0.073
,-0.022,-1.004,0.072
,-0.021,-1.0,0.073
,-0.021,-1.0,0.071
,-0.022,-1.004,0.072
,-0.021,-1.006,0.074
,-0.021,-1.003,0.072
,-0.021,-1.002,0.072
2025-11-13 23:04:47.624,-0.021,-1.006,0.073
2025-11-13 23:04:47.624,-0.022,-1.004,0.072
2025-11-13 23:04:47.624,-0.021,-1.0,0.073
2025-11-13 23:04:47.624,-0.021,-1.0,0.071
2025-11-13 23:04:47.624,-0.022,-1.004,0.072
2025-11-13 23:04:47.625,-0.021,-1.006,0.074
2025-11-13 23:04:47.625,-0.021,-1.003,0.072
2025-11-13 23:04:47.625,-0.021,-1.002,0.072
,-0.021,-1.0,0.073
,-0.022,-1.004,0.072
,-0.02,-1.005,0.074
,-0.02,-1.001,0.072
2025-11-13 23:04:47.640,-0.021,-1.0,0.073
2025-11-13 23:04:47.640,-0.022,-1.004,0.072
2025-11-13 23:04:47.640,-0.02,-1.005,0.074
2025-11-13 23:04:47.640,-0.02,-1.001,0.072
,-0.021,-1.001,0.071
,-0.021,-1.003,0.073
,-0.021,-1.005,0.072
,-0.02,-1.004,0.073
,-0.021,-1.002,0.071
,-0.022,-1.002,0.073
,-0.021,-1.004,0.071
,-0.021,-1.005,0.072
,-0.021,-1.003,0.072
,-0.021,-1.002,0.072
,-0.021,-1.002,0.072
,-0.019,-1.003,0.072
2025-11-13 23:04:47.783,-0.021,-1.001,0.071
2025-11-13 23:04:47.784,-0.021,-1.003,0.073
2025-11-13 23:04:47.784,-0.021,-1.005,0.072
2025-11-13 23:04:47.784,-0.02,-1.004,0.073
2025-11-13 23:04:47.784,-0.021,-1.002,0.071
2025-11-13 23:04:47.784,-0.022,-1.002,0.073
2025-11-13 23:04:47.784,-0.021,-1.004,0.071
2025-11-13 23:04:47.784,-0.021,-1.005,0.072
2025-11-13 23:04:47.784,-0.021,-1.003,0.072
